Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,205338159,2634.3844478642723,4418743,56.69023183513158,662383,4333094,55.591398599877344,66749,0.8563558199160264,10210,
United States of America,Americas,36099344,10906.06,852258,257.48,141652,614267,185.58,4087,1.23,620
India,South-East Asia,32117826,2327.37,261069,18.92,40120,430254,31.18,3500,0.25,585
Brazil,Americas,20245085,9524.44,218552,102.82,32443,565748,266.16,6141,2.89,975
Russian Federation,Europe,6557068,4493.16,154504,105.87,22277,168864,115.71,5563,3.81,815
France,Europe,6244939,9601.78,152029,233.75,28339,111354,171.21,354,0.54,76
The United Kingdom,Europe,6179510,9102.77,196925,290.08,32706,130701,192.53,615,0.91,94
Turkey,Europe,6018485,7136.06,171701,203.58,22261,52703,62.49,828,0.98,138
Argentina,Americas,5052884,11179.99,77268,170.96,11397,108388,239.82,1641,3.63,223
Colombia,Americas,4852323,9536.26,37260,73.23,5368,122953,241.64,1258,2.47,185
Spain,Europe,4677883,9883,93170,196.84,8096,82407,174.1,311,0.66,21
Italy,Europe,4420429,7411.67,43241,72.5,7267,128334,215.18,171,0.29,30
Iran (Islamic Republic of),Eastern Mediterranean,4320266,5143.61,262508,312.54,39049,96215,114.55,3587,4.27,568
Germany,Europe,3810641,4581.93,26208,31.51,5578,91853,110.44,99,0.12,19
Indonesia,South-East Asia,3804943,1391.08,197080,72.05,30788,115096,42.08,11086,4.05,1432
Mexico,Americas,3020596,2342.77,119502,92.69,22711,246203,190.95,3656,2.84,727
Poland,Europe,2884974,7600.41,1178,3.1,194,75297,198.37,16,0.04,6
South Africa,Africa,2568511,4330.75,70856,119.47,14271,76247,128.56,2374,4,473
Ukraine,Europe,2263864,5176.47,6386,14.6,1263,53217,121.68,152,0.35,44
Peru,Americas,2128516,6455.55,9448,28.65,1482,197146,597.92,473,1.43,44
Netherlands,Europe,1894667,10884.15,16595,95.33,2614,17894,102.79,44,0.25,7
Iraq,Eastern Mediterranean,1751176,4353.72,66221,164.64,10243,19466,48.4,466,1.16,64
Philippines,Western Pacific,1700363,1551.69,72641,66.29,12439,29539,26.96,1112,1.01,165
Czechia,Europe,1675868,15671.19,1285,12.02,193,30372,284.01,5,0.05,0
Chile,Americas,1626594,8508.98,6205,32.46,1138,36243,189.59,437,2.29,86
Canada,Americas,1445305,3829.42,10567,28,1872,26688,70.71,70,0.19,5
Bangladesh,South-East Asia,1405333,853.32,70073,42.55,8465,23810,14.46,1660,1.01,197
Malaysia,Western Pacific,1342215,4146.99,138509,427.95,21668,11691,36.12,1672,5.17,318
Belgium,Europe,1147855,9961.91,10188,88.42,2,25285,219.44,18,0.16,1
Sweden,Europe,1109112,10739.31,5390,52.19,1056,14658,141.93,1,0.01,0
Japan,Western Pacific,1087779,860.06,102088,80.72,18225,15358,12.14,118,0.09,28
Romania,Europe,1086492,5621.09,2036,10.53,383,34337,177.65,32,0.17,3
Pakistan,Eastern Mediterranean,1085294,491.32,31634,14.32,4934,24187,10.95,552,0.25,102
Portugal,Europe,995949,9673.25,15962,155.03,2708,17525,170.21,103,1,11
Israel,Europe,927016,10710.09,32068,370.49,1431,6611,76.38,76,0.88,3
Thailand,South-East Asia,863189,1236.66,148505,212.76,23418,7126,10.21,1272,1.82,184
Hungary,Europe,810316,8294.32,461,4.72,104,30038,307.47,5,0.05,1
Jordan,Eastern Mediterranean,779530,7640.1,4279,41.94,0,10158,99.56,58,0.57,0
Kazakhstan,Europe,737220,3926.25,47818,254.67,0,10791,57.47,882,4.7,0
Switzerland,Europe,730043,8435.3,8878,102.58,6,10364,119.75,6,0.07,0
Serbia,Europe,729150,10526.65,5053,72.95,983,7152,103.25,20,0.29,1
Nepal,South-East Asia,728532,2500.38,18023,61.86,2763,10239,35.14,220,0.76,27
Morocco,Eastern Mediterranean,720256,1951.35,54931,148.82,0,10607,28.74,520,1.41,0
United Arab Emirates,Eastern Mediterranean,698166,7059.03,9677,97.84,1260,1992,20.14,25,0.25,4
Austria,Europe,661448,7431.11,4513,50.7,879,10554,118.57,9,0.1,2
Tunisia,Eastern Mediterranean,618124,5230.09,15367,130.02,1360,21310,180.31,760,6.43,90
Lebanon,Eastern Mediterranean,576550,8447.07,9506,139.27,0,7958,116.59,32,0.47,0
Saudi Arabia,Eastern Mediterranean,536693,1541.61,5712,16.41,766,8378,24.07,81,0.23,12
Greece,Europe,528474,4930.45,21802,203.4,3603,13158,122.76,132,1.23,20
Ecuador,Americas,493148,2795.14,2612,14.8,0,31837,180.45,83,0.47,450
Cuba,Americas,491904,4342.9,60891,537.59,8194,3757,33.17,573,5.06,73
Bolivia (Plurinational State of),Americas,480229,4114.01,4132,35.4,770,18109,155.14,199,1.7,27
