Location,Latitude,Longitude,Comb
Oue Downtown 1 (6 Shenton Way),1.2783805,103.8491975,"1.2783805,103.8491975"
Clementi 448 Market & Food Centre (448 Clementi Avenue  3),1.3134126,103.7645571,"1.3134126,103.7645571"
Albert Centre (270 Queen Street),1.3009027,103.8544385,"1.3009027,103.8544385"
Lau Pa Sat (18 Raffles Quay),1.280684,103.8504436,"1.280684,103.8504436"
National University Hospital Medical Centre (1 Lower Kent  Ridge Road),1.2934082,103.7845638,"1.2934082,103.7845638"
Ntuc Fairprice (166 Bukit Merah Central),1.28317,103.8177388,"1.28317,103.8177388"
Mukmin Restaurant Bedok (129 Bedok North Street 2),1.3276098,103.9382789,"1.3276098,103.9382789"
Toh Guan Centre (21 Toh Guan Road East),1.3377105,103.754744,"1.3377105,103.754744"
Varinice Eating House (450 Clementi Avenue 3),1.313578,103.765368,"1.313578,103.765368"
Nkf Dialysis Centre (935 Tampines Street 91),1.3454833,103.9407867,"1.3454833,103.9407867"
Depot Heights Shopping Centre (108 Depot Road),1.2812742,103.8099871,"1.2812742,103.8099871"
Afghanistan Family Restaurant (201E Tampines Street 23),1.35269,103.9536646,"1.35269,103.9536646"
112 Jalan Bukit Merah Market And Food Centre,1.2800586,103.8259831,"1.2800586,103.8259831"
Sheng Siong Supermarket (19 Serangoon North Avenue 5),1.3755459,103.8718845,"1.3755459,103.8718845"
National University Hospital Medical Centre (1 Lower Kent  Ridge Road),1.2934082,103.7845638,"1.2934082,103.7845638"
Tampines 1 (10 Tampines Central 1),1.3540351,103.9453692,"1.3540351,103.9453692"
Hotel 81 Selegie (161 Selegie Road),1.3035263,103.8498765,"1.3035263,103.8498765"
Tampines Central Community Complex (866A Tampines  Street 83),1.3553724,103.9344296,"1.3553724,103.9344296"
Orchard Central (181 Orchard Road),1.3006295,103.8398742,"1.3006295,103.8398742"
Lucky Plaza (304 Orchard Road),1.3045456,103.8339449,"1.3045456,103.8339449"
Tiong Bahru Plaza (302 Tiong Bahru Road),1.2865081,103.8277527,"1.2865081,103.8277527"
Plaza Singapura (68 Orchard Road),1.3005317,103.8452356,"1.3005317,103.8452356"
Han’S @ Springleaf Garden (906 Upper Thomson Road),1.3975981,103.8186528,"1.3975981,103.8186528"
Ancient Dynasty Massage & Spa (5 Thong Soon Avenue),1.3971342,103.8187786,"1.3971342,103.8187786"
Courts Megastore (50 Tampines North Drive 2),1.3734101,103.9334918,"1.3734101,103.9334918"
Ikea Tampines (60 Tampines North Drive 2),1.374177,103.9322926,"1.374177,103.9322926"
313@Somerset (313 Orchard Road),1.300898,103.838361,"1.300898,103.838361"
